Provide the Hindi translation of:,Help!,बचाओ!
Translate the following to Hindi:,Jump.,उछलो.
Translate the following to Hindi:,Jump.,कूदो.
Provide the Hindi translation of:,Jump.,छलांग.
Translate the following to Hindi:,Hello!,नमस्ते।
Translate the following to Hindi:,Hello!,नमस्कार।
Provide the Hindi translation of:,Cheers!,वाह-वाह!
Provide the Hindi translation of:,Cheers!,चियर्स!
Provide the Hindi translation of:,Got it?,समझे कि नहीं?
Provide the Hindi translation of:,I'm OK.,मैं ठीक हूँ।
Translate the following to Hindi:,Awesome!,बहुत बढ़िया!
Provide the Hindi translation of:,Come in.,अंदर आ जाओ।
Convert this sentence into Hindi:,Get out!,बाहर निकल जाओ!
Convert this sentence into Hindi:,Go away!,चले जाओ!
Provide the Hindi translation of:,Goodbye!,ख़ुदा हाफ़िज़।
Translate the following to Hindi:,Perfect!,उत्तम!
Convert this sentence into Hindi:,Perfect!,सही!
Convert this sentence into Hindi:,Welcome.,आपका स्वागत है।
Translate the following to Hindi:,Welcome.,स्वागतम्।
Convert this sentence into Hindi:,Have fun.,मज़े करना।
Translate the following to Hindi:,Have fun.,मौज करना।
Translate the following to Hindi:,Have fun.,मज़े करो।
Translate the following to Hindi:,I forgot.,मैं भूल गया।
Convert this sentence into Hindi:,I forgot.,मैं भूल गई।
Provide the Hindi translation of:,I'll pay.,मैं पैसे दूंगा।
Translate the following to Hindi:,I'm fine.,मैं ठीक हूँ।
Provide the Hindi translation of:,I'm full.,मेरा पेट भर गया है।
Convert this sentence into Hindi:,Let's go!,चलो चलें!
Translate the following to Hindi:,Answer me.,मुझे जवाब दो।
Convert this sentence into Hindi:,Birds fly.,पंछी उड़ते हैं।
Convert this sentence into Hindi:,Excuse me.,माफ़ कीजिए।
Translate the following to Hindi:,Fantastic!,बहुत ख़ूब!
Convert this sentence into Hindi:,I fear so.,"खेद की बात है, लेकिन वैसा ही है।"
Provide the Hindi translation of:,I laughed.,मैं हँसा।
Convert this sentence into Hindi:,I'm bored.,मैं बोर हो रहा हूँ।
Convert this sentence into Hindi:,I'm broke.,मेरा दीवालिया हो चुका है।
Provide the Hindi translation of:,I'm tired.,मैं थक गया हूँ।
Convert this sentence into Hindi:,It's cold.,ठंड हो रही है।
Convert this sentence into Hindi:,Who knows?,कौन जाने?
Provide the Hindi translation of:,Who knows?,किसको पता है?
Provide the Hindi translation of:,Who knows?,किसे पता है?
Translate the following to Hindi:,Who knows?,किसे मालूम है?
Translate the following to Hindi:,Wonderful!,अद्भुत
Provide the Hindi translation of:,Birds sing.,पंछी गाते हैं।
Convert this sentence into Hindi:,Come on in.,अंदर आ जाओ।
Provide the Hindi translation of:,Definitely!,निश्चित ही
Translate the following to Hindi:,Don't move.,हिलो मत।
Convert this sentence into Hindi:,Fire burns.,आग जलाती है।
Convert this sentence into Hindi:,Follow him.,उसका पीछा करो।
Translate the following to Hindi:,I am tired.,मैं थक गया हूँ।
Provide the Hindi translation of:,I can swim.,मुझे तैरना आता है।
Convert this sentence into Hindi:,I can swim.,मैं तैर सकता हूँ।
