instruction,hi_err,hi_corr
Identify and correct the mistake in the provided Hindi sentence:,इन जंगलों में पर्यटक चांगलांग के वन्य जीवन के खूबसूरत दृश्य देख सकते है,इन जंगलों में पर्यटक चांगलांग के वन्य जीवन के खूबसूरत दृश्य देख सकते हैं
Fix the grammar error in the given Hindi sentence:,इसकी निर्माण गुरूदेव रवीन्द्रनाथ ठाकुर के बड़े भाई ने कराया था,इसका निर्माण गुरूदेव रवीन्द्रनाथ ठाकुर के बड़े भाई ने कराया था
Make corrections to the grammar of the following Hindi sentence:,इसका निर्माण गुरूदेव रवीन्द्रनाथ ठाकुर के बड़े भाई ने कराया थी,इसका निर्माण गुरूदेव रवीन्द्रनाथ ठाकुर के बड़े भाई ने कराया था
Correct the given sentence:,स्वर्ण अनेक धातुओं से मिश्रित हो मिश्रधातु बनाता हैं,स्वर्ण अनेक धातुओं से मिश्रित हो मिश्रधातु बनाता है
Identify any grammatical issues in the sentence and fix them:,"इस सभा में राजनीतिक प्रश्नों के अतिरिक्त और भी अनेक प्रकार के सामाजिक , व्यावहारिक और धार्मिक प्रश्न भी विचारार्थ आते रहते था","इस सभा में राजनीतिक प्रश्नों के अतिरिक्त और भी अनेक प्रकार के सामाजिक , व्यावहारिक और धार्मिक प्रश्न भी विचारार्थ आते रहते थे"
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,दूसरे कहानी ये कहती है कि एक बार मिथिलेश को उनके पड़ोसी सहाय ने बैंक ड्राफ्ट जमा करने के लिए भेजा,दूसरी कहानी ये कहती है कि एक बार मिथिलेश को उनके पड़ोसी सहाय ने बैंक ड्राफ्ट जमा करने के लिए भेजा
हिंदी वाक्य में मौजूद गलती को ठीक करें।,दूसरी कहानी ये कहती हैं कि एक बार मिथिलेश को उनके पड़ोसी सहाय ने बैंक ड्राफ्ट जमा करने के लिए भेजा,दूसरी कहानी ये कहती है कि एक बार मिथिलेश को उनके पड़ोसी सहाय ने बैंक ड्राफ्ट जमा करने के लिए भेजा
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,दूसरी कहानी ये कहती है कि एक बार मिथिलेश को उनकी पड़ोसी सहाय ने बैंक ड्राफ्ट जमा करने के लिए भेजा,दूसरी कहानी ये कहती है कि एक बार मिथिलेश को उनके पड़ोसी सहाय ने बैंक ड्राफ्ट जमा करने के लिए भेजा
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,राजधानी जकार्ता के एक होटल में मंगलवार को हुईं बम धमाके के बाद उन्होंने पहली टिप्पणी में ये माँग उठाई,राजधानी जकार्ता के एक होटल में मंगलवार को हुए बम धमाके के बाद उन्होंने पहली टिप्पणी में ये माँग उठाई
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,राजधानी जकार्ता के एक होटल में मंगलवार को हुए बम धमाके के बाद उन्होंने पहले टिप्पणी में ये माँग उठाई,राजधानी जकार्ता के एक होटल में मंगलवार को हुए बम धमाके के बाद उन्होंने पहली टिप्पणी में ये माँग उठाई
Diye gaye sentence mein grammar ki galti ko theek karo:,ये एक मूर्तिपूजक और बहुदेवतावादी धर्म थीं,ये एक मूर्तिपूजक और बहुदेवतावादी धर्म था
Hindi sentence ke errors ko identify karke correct karo:,"अथीना को आधुनिक आलोचक प्राक्‌ हेलेनिक देवी मानते है , जिसका संबंध क्रीत और मिकीनी की पुरानी सभ्यता से था","अथीना को आधुनिक आलोचक प्राक्‌ हेलेनिक देवी मानते हैं , जिसका संबंध क्रीत और मिकीनी की पुरानी सभ्यता से था"
Grammar mistake ko correct karo jo sentence mein hai:,"अथीना को आधुनिक आलोचक प्राक्‌ हेलेनिक देवी मानते हैं , जिसकी संबंध क्रीत और मिकीनी की पुरानी सभ्यता से था","अथीना को आधुनिक आलोचक प्राक्‌ हेलेनिक देवी मानते हैं , जिसका संबंध क्रीत और मिकीनी की पुरानी सभ्यता से था"
Hindi sentence ka grammar sahi karo:,"अथीना को आधुनिक आलोचक प्राक्‌ हेलेनिक देवी मानते हैं , जिसका संबंध क्रीत और मिकीनी की पुराने सभ्यता से था","अथीना को आधुनिक आलोचक प्राक्‌ हेलेनिक देवी मानते हैं , जिसका संबंध क्रीत और मिकीनी की पुरानी सभ्यता से था"
"Jo bhi error hai Hindi sentence mein, usse fix karo:","अथीना को आधुनिक आलोचक प्राक्‌ हेलेनिक देवी मानते हैं , जिसका संबंध क्रीत और मिकीनी की पुरानी सभ्यता से थीं","अथीना को आधुनिक आलोचक प्राक्‌ हेलेनिक देवी मानते हैं , जिसका संबंध क्रीत और मिकीनी की पुरानी सभ्यता से था"
Identify and correct the mistake in the provided Hindi sentence:,यह जमीन से 5 6 फीट की ऊंचाई पर होते हैं और इनमें केवल एक ही कमरा होता है जिसमें दो चूल्हे होते हैं,यह जमीन से 5 6 फीट की ऊंचाई पर होते है और इनमें केवल एक ही कमरा होता है जिसमें दो चूल्हे होते हैं
Fix the grammar error in the given Hindi sentence:,यह जमीन से 5 6 फीट की ऊंचाई पर होते है और इनमें केवल एक ही कमरा होता हैं जिसमें दो चूल्हे होते हैं,यह जमीन से 5 6 फीट की ऊंचाई पर होते है और इनमें केवल एक ही कमरा होता है जिसमें दो चूल्हे होते हैं
Make corrections to the grammar of the following Hindi sentence:,यह जमीन से 5 6 फीट की ऊंचाई पर होते है और इनमें केवल एक ही कमरा होता है जिसमें दो चूल्हे होते है,यह जमीन से 5 6 फीट की ऊंचाई पर होते है और इनमें केवल एक ही कमरा होता है जिसमें दो चूल्हे होते हैं
Correct the given sentence:,विश्वविख्यात स्वेज नहर भूमध्य सागर तथा लाल सागर को उत्तर पूर्वी मिस्र में सिनाइ प्रायद्वीप से होकर जोड़ती हैं,विश्वविख्यात स्वेज नहर भूमध्य सागर तथा लाल सागर को उत्तर पूर्वी मिस्र में सिनाइ प्रायद्वीप से होकर जोड़ती है
Identify any grammatical issues in the sentence and fix them:,"ऐसे कुलों की संख्या प्रत्येक गण में परंपरा से नियत थे , जैसे लिच्छविगण के संगठन में 7707 कुटुंब या कुल सम्मिलित थे","ऐसे कुलों की संख्या प्रत्येक गण में परंपरा से नियत थी , जैसे लिच्छविगण के संगठन में 7707 कुटुंब या कुल सम्मिलित थे"
दिए गए वाक्य में व्याकरण संबंधी त्रुटि को सुधारें।,"ऐसे कुलों की संख्या प्रत्येक गण में परंपरा से नियत थी , जैसे लिच्छविगण के संगठन में 7707 कुटुंब या कुल सम्मिलित थीं","ऐसे कुलों की संख्या प्रत्येक गण में परंपरा से नियत थी , जैसे लिच्छविगण के संगठन में 7707 कुटुंब या कुल सम्मिलित थे"
हिंदी वाक्य में मौजूद गलती को ठीक करें।,इसमें मनेथो ने प्राचीन मिस्री राजाओं को सूचीबद्ध करके उन्हें तीस वंशों में विभाजित किया थे,इसमें मनेथो ने प्राचीन मिस्री राजाओं को सूचीबद्ध करके उन्हें तीस वंशों में विभाजित किया था
निम्नलिखित वाक्य में व्याकरण की त्रुटि पहचानकर सुधारें।,( उपन्यास की हर कड़ी एक एक साल लम्बा है ),( उपन्यास की हर कड़ी एक एक साल लम्बी है )
दिए गए वाक्य को व्याकरण की दृष्टि से सही करें।,( उपन्यास की हर कड़ी एक एक साल लम्बी हैं ),( उपन्यास की हर कड़ी एक एक साल लम्बी है )
हिंदी वाक्य में गलती खोजें और उसे ठीक करें।,सनी को विश्व का सर्वोपरी खिलाड़ी माना जाता हैं,सनी को विश्व का सर्वोपरी खिलाड़ी माना जाता है
Diye gaye sentence mein grammar ki galti ko theek karo:,इसे यूरोप का सबसे पुरानी गणराज्य माना जाता है,इसे यूरोप का सबसे पुराना गणराज्य माना जाता है
Hindi sentence ke errors ko identify karke correct karo:,इसे यूरोप का सबसे पुराना गणराज्य माना जाता हैं,इसे यूरोप का सबसे पुराना गणराज्य माना जाता है
Grammar mistake ko correct karo jo sentence mein hai:,दारा रणभूमि छोड़ कर भाग गा,दारा रणभूमि छोड़ कर भाग गया
